Sample,Date_Collected,Sample_or_Control,Substrate,SampleType,Site,Site_SampleType,Include_in_Levi_analysis,Latitude,Longitude,River_Bottom,Biofilm,Habitat,Depth,Features
K0556_C3,2021-01-30T15:38:36.149-08:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.181979,-118.497875,"all soft bottom, no concrete present",No layer present,"Terrestrial habitat, not submerged",Top layer (top 3cm) soil or sediment,Slope/slant
K0556_E4,2021-01-30T15:40:18.628-08:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.181746,-118.497795,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0556_G5,2021-01-30T15:41:45.700-08:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.181548,-118.497815,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
K0556_T9,2021-01-30T15:48:10.627-08:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.182068,-118.497798,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 30-60cm,Basin/wash
CC_DB1,2021-02-04T11:44:43.527-08:00,Sample,Water,DB,Compton_Creek,Compton_Creek_DB,Yes,33.843584,-118.206087,"all soft bottom, no concrete present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
CC_DB2,2021-02-04T11:58:05.644-08:00,Sample,Water,DB,Compton_Creek,Compton_Creek_DB,Yes,33.84359,-118.206074,"all soft bottom, no concrete present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
CC_PN1,2021-02-04T11:59:23.665-08:00,Sample,Water,PN,Compton_Creek,Compton_Creek_PN,Yes,33.843424,-118.206119,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
CC_PN2,2021-02-04T12:00:04.263-08:00,Sample,Water,PN,Compton_Creek,Compton_Creek_PN,Yes,33.842882,-118.205485,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0568_A1,2021-02-04T12:05:34.077-08:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.843155,-118.205859,"all soft bottom, no concrete present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0568_C3,2021-02-04T12:09:54.137-08:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.843327,-118.206128,"all soft bottom, no concrete present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Pit or ravine
K0568_M8,2021-02-04T12:10:58.450-08:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.842736,-118.205389,"all soft bottom, no concrete present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant
K0569_A1,2021-02-04T12:22:45.418-08:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.843778,-118.206671,"all soft bottom, no concrete present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0569_B2,2021-02-04T12:32:58.254-08:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.843385,-118.205968,"all soft bottom, no concrete present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0592_L7,2021-02-04T12:33:19.714-08:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.84372,-118.206611,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0592_M8,2021-02-04T12:41:47.751-08:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.843075,-118.20579,"all soft bottom, no concrete present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0598_T9,2021-02-04T12:44:06.176-08:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.843066,-118.205779,"all soft bottom, no concrete present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
EXTRACTION_BLANK_102_114,2021-02-04T13:40:35.238-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
EXTRACTION_BLANK_116_132,2021-02-04T13:47:25.192-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
EXTRACTION_BLANK_1_23,2021-02-04T13:52:22.344-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
EXTRACTION_BLANK_134_151,2021-02-04T13:53:11.171-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
EXTRACTION_BLANK_25_47,2021-02-04T13:58:10.632-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
EXTRACTION_BLANK_49_71,2021-02-04T13:58:44.298-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
EXTRACTION_BLANK_73_93,2021-02-04T14:03:41.296-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
EXTRACTION_BLANK_95_100,2021-02-04T14:03:50.251-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
PCR_BLANK_1,2021-02-04T14:19:50.391-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
PCR_BLANK_2,2021-02-04T14:21:04.426-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
EV_DB1,2021-02-04T14:28:08.459-08:00,Sample,Water,DB,Elysian_Valley,Elysian_Valley_DB,Yes,34.084657,-118.228064,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash Pit or ravine
EV_DB2,2021-02-04T14:30:01.799-08:00,Sample,Water,DB,Elysian_Valley,Elysian_Valley_DB,Yes,34.084958,-118.227975,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
EV_PN1,2021-02-05T08:29:19.915-08:00,Sample,Water,PN,Elysian_Valley,Elysian_Valley_PN,Yes,34.084569,-118.228059,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash Pit or ravine
EV_PN2,2021-02-05T08:29:25.295-08:00,Sample,Water,PN,Elysian_Valley,Elysian_Valley_PN,Yes,34.084845,-118.228096,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine Flat land/terrace
K0554_G5,2021-02-05T08:32:00.310-08:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.08496,-118.228077,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant Basin/wash
K0554_K6,2021-02-05T08:37:15.080-08:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.085254,-118.228155,"all soft bottom, no concrete present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0557_E4,2021-02-05T08:37:22.802-08:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.084496,-118.228155,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant Pit or ravine Rocky shore
K0557_K6,2021-02-05T08:49:01.971-08:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.084658,-118.228136,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant Pit or ravine
K0790_B2,2021-02-05T08:53:26.746-08:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.085227,-118.228221,"all soft bottom, no concrete present",No layer present,"Terrestrial habitat, not submerged",Top layer (top 3cm) soil or sediment,Basin/wash
K0790_K6,2021-02-05T08:59:39.207-08:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.084729,-118.228153,"all soft bottom, no concrete present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Slope/slant Basin/wash
K0790_L7,2021-02-05T09:01:17.276-08:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.084858,-118.228085,"all soft bottom, no concrete present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant
K0790_T9,2021-02-05T09:02:32.471-08:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.084974,-118.228104,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant Basin/wash
GL_DB1,2021-02-05T09:04:24.648-08:00,Sample,Water,DB,Glendale,Glendale_DB,Yes,34.154599,-118.276528,"all hard bottom, entirely channelized, concrete fully present",No layer present,Frequently submerged or intertidal or marsh,Submerged 3-30cm,Slope/slant Pit or ravine
GL_DB2,2021-02-05T09:05:00.592-08:00,Sample,Water,DB,Glendale,Glendale_DB,Yes,34.155005,-118.275656,"all hard bottom, entirely channelized, concrete fully present",No layer present,Frequently submerged or intertidal or marsh,Submerged 3-30cm,Slope/slant Pit or ravine
GL_PN1,2021-02-05T10:15:40.239-08:00,Sample,Water,PN,Glendale,Glendale_PN,Yes,34.154709,-118.276831,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Slope/slant Pit or ravine
GL_PN2,2021-02-05T10:17:31.142-08:00,Sample,Water,PN,Glendale,Glendale_PN,Yes,34.15508,-118.275648,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0591_A1,2021-02-05T10:18:15.939-08:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.154982,-118.275753,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Slope/slant Pit or ravine
K0591_K6,2021-02-05T10:19:43.170-08:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.154899,-118.276289,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0591_T9,2021-02-05T10:38:21.139-08:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.155174,-118.275233,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0598_A1,2021-02-05T10:42:04.495-08:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.154988,-118.275825,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash Pit or ravine
K0598_B2,2021-02-05T10:50:53.204-08:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.154833,-118.277105,soft bottom with some concrete present,No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0598_C3,2021-02-05T10:53:32.461-08:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.155012,-118.275789,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0598_L7,2021-02-05T10:58:19.683-08:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.155135,-118.275632,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Slope/slant Pit or ravine
K0598_M8,2021-02-05T10:59:56.893-08:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.154898,-118.276468,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash Pit or ravine
GN_DB1,2021-02-05T10:59:57.797-08:00,Sample,Water,DB,Glendale_Narrows,Glendale_Narrows_DB,Yes,34.103142,-118.242312,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 30-60cm,Basin/wash
GN_DB2,2021-02-05T11:01:18.833-08:00,Sample,Water,DB,Glendale_Narrows,Glendale_Narrows_DB,Yes,34.103772,-118.242595,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
GN_PN1,2021-02-05T12:18:17.948-08:00,Sample,Water,PN,Glendale_Narrows,Glendale_Narrows_PN,Yes,34.103122,-118.242354,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
GN_PN2,2021-02-05T12:19:26.228-08:00,Sample,Water,PN,Glendale_Narrows,Glendale_Narrows_PN,Yes,34.103449,-118.242681,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0554_A1,2021-02-05T12:23:04.625-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103684,-118.242437,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0554_E4,2021-02-05T12:27:47.415-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103784,-118.242623,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0554_T9,2021-02-05T12:27:52.769-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103234,-118.242482,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Elevated ridge Basin/wash
K0557_A1,2021-02-05T12:32:18.443-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103319,-118.242463,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0557_T9,2021-02-05T12:32:19.344-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.10324,-118.242408,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0560_T9,2021-02-05T12:35:09.508-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103141,-118.242385,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0787_B2,2021-02-05T12:42:27.451-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103148,-118.242361,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0788_E4,2021-02-05T12:42:35.426-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103792,-118.242675,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
LB_DB1,2021-02-05T12:44:52.253-08:00,Sample,Water,DB,Long_Beach,Long_Beach_DB,Yes,33.763077,-118.202334,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Estuary (partially enclosed)
LB_DB2,2021-02-05T12:46:24.715-08:00,Sample,Water,DB,Long_Beach,Long_Beach_DB,Yes,33.762683,-118.20221,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash Rocky shore
LB_PN1,2021-02-05T13:41:04.203-08:00,Sample,Water,PN,Long_Beach,Long_Beach_PN,Yes,33.762697,-118.202151,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Rocky shore
LB_PN2,2021-02-05T13:44:16.342-08:00,Sample,Water,PN,Long_Beach,Long_Beach_PN,Yes,33.76291,-118.202469,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Estuary (partially enclosed)
K0554_C3,2021-02-05T13:50:56.553-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762971,-118.202263,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Estuary (partially enclosed)
K0554_L7,2021-02-05T13:50:56.553-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.763017,-118.202404,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Estuary (partially enclosed)
K0557_C3,2021-02-05T13:51:39.793-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762573,-118.201949,"all hard bottom, entirely channelized, concrete fully present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant Rocky shore
K0560_A1,2021-02-05T13:55:38.185-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762925,-118.202402,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Estuary (partially enclosed)
K0560_K6,2021-02-05T13:56:43.171-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762649,-118.202093,"all hard bottom, entirely channelized, concrete fully present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant Rocky shore
K0560_M8,2021-02-05T14:00:00.310-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762761,-118.202305,"all hard bottom, entirely channelized, concrete fully present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Rocky shore
K0790_A1,2021-02-05T14:01:28.330-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762612,-118.202015,"all hard bottom, entirely channelized, concrete fully present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant Rocky shore
K0790_G5,2021-02-05T14:06:12.066-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.763032,-118.202262,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Estuary (partially enclosed)
MW_DB1,2021-02-05T14:09:58.951-08:00,Sample,Water,DB,Maywood,Maywood_DB,Yes,33.986933,-118.171934,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
MW_DB2,2021-02-05T14:15:19.961-08:00,Sample,Water,DB,Maywood,Maywood_DB,Yes,33.987336,-118.172604,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
MW_PN1,2021-02-21T09:40:17.335-08:00,Sample,Water,PN,Maywood,Maywood_PN,Yes,33.98758,-118.172356,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
MW_PN2,2021-02-21T09:47:48.483-08:00,Sample,Water,PN,Maywood,Maywood_PN,Yes,33.986953,-118.171885,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
K0554_B2,2021-02-21T09:51:55.435-08:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.987068,-118.172146,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0557_L7,2021-02-21T09:55:45.133-08:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.986829,-118.171733,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
