Sample,Date_Collected,Sample_or_Control,Substrate,SampleType,Site,Site_SampleType,Include_in_Levi_analysis,Latitude,Longitude,River_Bottom,Biofilm,Habitat,Depth,Features
K0562_L7,2020-11-26T09:39:31.222-08:00,Sample,Sediment,Sediment,Bowtie_Parcel,Arroyo_Seco_Sediment,Yes,34.10837,-118.246832,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0562_M8,2020-11-26T09:42:51-08:00,Sample,Sediment,Sediment,Bowtie_Parcel,Arroyo_Seco_Sediment,Yes,34.108515,-118.247228,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0786_A1,2020-11-26T09:46:49-08:00,Sample,Sediment,Sediment,Bowtie_Parcel,Arroyo_Seco_Sediment,Yes,34.108218,-118.246629,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Open water
K0786_B2,2020-11-26T09:48:06.600-08:00,Sample,Sediment,Sediment,Bowtie_Parcel,Arroyo_Seco_Sediment,Yes,34.108065,-118.247171,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 30-60cm,Pit or ravine
K0786_E4,2020-11-26T09:49:29.898-08:00,Sample,Sediment,Sediment,Bowtie_Parcel,Arroyo_Seco_Sediment,Yes,34.108042,-118.246403,"all soft bottom, no concrete present","Yes, thin layer present",Fully submerged,Submerged 3-30cm,Open water
K0786_G5,2020-11-26T09:50:57.790-08:00,Sample,Sediment,Sediment,Bowtie_Parcel,Arroyo_Seco_Sediment,Yes,34.10828,-118.246848,soft bottom with some concrete present,No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
BP_DB1,2020-11-26T09:51:49-08:00,Sample,Water,DB,Bowtie_Parcel,Bowtie_Parcel_DB,Yes,34.108297,-118.246601,"all hard bottom, entirely channelized, concrete fully present","Yes, thick layer present",Frequently submerged or intertidal or marsh,Submerged 3-30cm,Slope/slant Basin/wash
BP_DB2,2020-11-26T09:53:36.680-08:00,Sample,Water,DB,Bowtie_Parcel,Bowtie_Parcel_DB,Yes,34.108322,-118.246899,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Elevated ridge Slope/slant
BP_PN1,2020-11-26T10:07:07.313-08:00,Sample,Water,PN,Bowtie_Parcel,Bowtie_Parcel_PN,Yes,34.108004,-118.246504,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Slope/slant Basin/wash
BP_PN2,2020-11-26T10:12:28.644-08:00,Sample,Water,PN,Bowtie_Parcel,Bowtie_Parcel_PN,Yes,34.108241,-118.246821,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Slope/slant Basin/wash
BC_DB1,2020-11-26T10:13:55.922-08:00,Sample,Water,DB,Bull_Creek,Bull_Creek_DB,Yes,34.1814,-118.49781,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
BC_DB2,2020-11-26T11:35:09.700-08:00,Sample,Water,DB,Bull_Creek,Bull_Creek_DB,Yes,34.182075,-118.497835,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Slope/slant Pit or ravine
BC_PN1,2020-11-26T11:40:42.752-08:00,Sample,Water,PN,Bull_Creek,Bull_Creek_PN,Yes,34.181399,-118.497808,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
BC_PN2,2020-11-26T11:51:41.589-08:00,Sample,Water,PN,Bull_Creek,Bull_Creek_PN,Yes,34.182117,-118.497761,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Slope/slant
K0566_A1,2020-11-26T12:01:30.826-08:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.181999,-118.497856,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant Pit or ravine
K0566_B2,2020-11-26T12:05:47.654-08:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.18199,-118.497867,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant Pit or ravine
K0566_C3,2020-11-26T12:13:25.606-08:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.18208,-118.497832,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant Pit or ravine
K0566_G5,2020-11-26T12:16:02.070-08:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.181351,-118.497799,"all soft bottom, no concrete present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0566_K6,2020-11-26T12:19:13.257-08:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.181668,-118.497872,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
K0566_L7,2020-11-26T12:29:13.361-08:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.181919,-118.497771,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Slope/slant
K0566_T9,2020-11-26T12:33:02.289-08:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.181334,-118.497815,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
K0570_M8,2020-11-26T12:41:19.898-08:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.181171,-118.49782,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
CC_DB1,2020-11-26T12:48:32.424-08:00,Sample,Water,DB,Compton_Creek,Compton_Creek_DB,Yes,33.842668,-118.205352,"all soft bottom, no concrete present","Yes, thin layer present",Fully submerged,Submerged 3-30cm,Enclosed water Slope/slant Basin/wash
CC_DB2,2020-11-26T12:52:40.430-08:00,Sample,Water,DB,Compton_Creek,Compton_Creek_DB,Yes,33.843244,-118.206228,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Slope/slant Basin/wash
CC_PN1,2020-11-27T09:05:00.374-08:00,Sample,Water,PN,Compton_Creek,Compton_Creek_PN,Yes,33.842722,-118.205486,"all soft bottom, no concrete present","Yes, thin layer present",Fully submerged,Submerged 3-30cm,Open water Slope/slant Basin/wash
CC_PN2,2020-11-27T09:13:01.511-08:00,Sample,Water,PN,Compton_Creek,Compton_Creek_PN,Yes,33.843254,-118.205862,"all soft bottom, no concrete present","Yes, thin layer present",Fully submerged,Submerged 3-30cm,Slope/slant Basin/wash
K0541_M8,2020-11-27T09:21:57.596-08:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.843555,-118.206602,soft bottom with some concrete present,"Yes, thin layer present",Rarely submerged or wetland or arroyo,Top layer (top 3cm) soil or sediment,Open water
K0543_A1,2020-11-27T09:27:15.358-08:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.843304,-118.205942,"all soft bottom, no concrete present","Yes, thick layer present",Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Open water
K0543_G5,2020-11-27T09:30:20.285-08:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.842912,-118.206099,"all soft bottom, no concrete present","Yes, thick layer present",Fully submerged,Top layer (top 3cm) soil or sediment,Pit or ravine
K0543_T9,2020-11-27T09:36:14.768-08:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.842952,-118.205679,"all soft bottom, no concrete present","Yes, thin layer present",Rarely submerged or wetland or arroyo,Top layer (top 3cm) soil or sediment,Open water
K0544_A1,2020-11-27T09:46:38.366-08:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,No,33.842743,-118.205412,"all soft bottom, no concrete present","Yes, thin layer present",Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant Basin/wash
K0544_B2,2020-11-27T09:48:18.047-08:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.842921,-118.205643,"all soft bottom, no concrete present","Yes, thin layer present",Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant Basin/wash
K0544_C3,2020-11-27T09:53:14.284-08:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.842868,-118.205559,"all soft bottom, no concrete present","Yes, thin layer present",Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant Basin/wash
K0544_G5,2020-11-27T10:04:43.321-08:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.842952,-118.205679,"all soft bottom, no concrete present","Yes, thick layer present",Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Open water
K0544_K6,2020-11-27T10:08:02.636-08:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.84341,-118.20605,soft bottom with some concrete present,"Yes, thick layer present",Rarely submerged or wetland or arroyo,Top layer (top 3cm) soil or sediment,Open water
EXTRACTION_BLANK_105_128,2020-11-27T10:18:25.472-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
EXTRACTION_BLANK_1_20,2020-11-27T12:10:35.268-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
EXTRACTION_BLANK_130_137,2020-11-27T12:26:06.475-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
EXTRACTION_BLANK_139_161,2020-11-27T12:31:22.537-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
EXTRACTION_BLANK_163_170,2020-11-27T12:39:51.521-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
EXTRACTION_BLANK_172_188,2020-11-27T12:51:31.744-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
EXTRACTION_BLANK_22_31,2020-11-27T12:56:36.498-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
EXTRACTION_BLANK_33_43,2020-11-27T13:24:36.982-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
EXTRACTION_BLANK_45_67,2020-11-27T13:32:18.492-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
EXTRACTION_BLANK_69_91,2020-11-27T13:36:36.217-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
PCR_Blank1,2020-11-27T13:44:11.250-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
PCR_BLANK2,2020-11-27T13:45:23.648-08:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control
EV_DB1,2020-11-27T13:47:51.381-08:00,Sample,Water,DB,Elysian_Valley,Elysian_Valley_DB,Yes,34.084864,-118.228033,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
EV_DB2,2020-11-28T09:08:32.456-08:00,Sample,Water,DB,Elysian_Valley,Elysian_Valley_DB,Yes,34.084394,-118.227974,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
EV_PN1,2020-11-28T09:10:18.239-08:00,Sample,Water,PN,Elysian_Valley,Elysian_Valley_PN,Yes,34.084801,-118.227974,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
EV_PN2,2020-11-28T09:15:02.845-08:00,Sample,Water,PN,Elysian_Valley,Elysian_Valley_PN,Yes,34.084381,-118.228095,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
K0567_L7,2020-11-28T09:19:57.777-08:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.084919,-118.22809,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0567_M8,2020-11-28T09:19:58.801-08:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.084606,-118.228225,"all hard bottom, entirely channelized, concrete fully present","Yes, thick layer present",Rarely submerged or wetland or arroyo,Top layer (top 3cm) soil or sediment,Open water
K0567_T9,2020-11-28T09:22:26.284-08:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,No,34.085067,-118.22803,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Open water
K0570_A1,2020-11-28T09:25:15.078-08:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.08438,-118.228024,"all hard bottom, entirely channelized, concrete fully present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Open water
K0570_B2,2020-11-28T09:28:22.958-08:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.084067,-118.228051,"all hard bottom, entirely channelized, concrete fully present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Open water
K0570_C3,2020-11-28T09:31:47.226-08:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.084287,-118.228054,"all hard bottom, entirely channelized, concrete fully present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Open water
K0570_E4,2020-11-28T09:33:52.592-08:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.083726,-118.228215,"all hard bottom, entirely channelized, concrete fully present","Yes, thin layer present","Terrestrial habitat, not submerged",Top layer (top 3cm) soil or sediment,Flat land/terrace
K0570_G5,2020-11-28T09:35:14.452-08:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.0837,-118.227952,"all hard bottom, entirely channelized, concrete fully present","Yes, thin layer present","Terrestrial habitat, not submerged",Top layer (top 3cm) soil or sediment,Flat land/terrace
K0570_K6,2020-11-28T09:35:50.808-08:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,No,34.084493,-118.228179,"all hard bottom, entirely channelized, concrete fully present",No layer present,Rarely submerged or wetland or arroyo,Top layer (top 3cm) soil or sediment,Open water
K0570_L7,2020-11-28T09:46:29.113-08:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.084716,-118.228161,"all hard bottom, entirely channelized, concrete fully present","Yes, thick layer present",Rarely submerged or wetland or arroyo,Submerged 3-30cm,Open water
GL_DB1,2020-11-28T09:50:59.567-08:00,Sample,Water,DB,Glendale,Glendale_DB,Yes,34.154559,-118.27664,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Elevated ridge
GL_DB2,2020-11-28T10:42:28.098-08:00,Sample,Water,DB,Glendale,Glendale_DB,Yes,34.155005,-118.275656,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Open water
GL_PN1,2020-11-28T10:42:28.098-08:00,Sample,Water,PN,Glendale,Glendale_PN,Yes,34.154926,-118.276479,"all hard bottom, entirely channelized, concrete fully present","Yes, thick layer present",Fully submerged,Submerged 3-30cm,Elevated ridge
GL_PN2,2020-11-28T10:44:22.719-08:00,Sample,Water,PN,Glendale,Glendale_PN,Yes,34.155135,-118.27552,"all hard bottom, entirely channelized, concrete fully present","Yes, thin layer present",Fully submerged,Submerged 3-30cm,Pit or ravine
K0784_A1,2020-11-28T10:44:22.719-08:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.154786,-118.276263,"all hard bottom, entirely channelized, concrete fully present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Open water
K0784_E4,2020-11-28T10:50:11.933-08:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.154735,-118.276472,"all hard bottom, entirely channelized, concrete fully present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Open water
K0784_G5,2020-11-28T10:50:11.933-08:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.155237,-118.275864,"all hard bottom, entirely channelized, concrete fully present","Yes, thin layer present","Terrestrial habitat, not submerged",Top layer (top 3cm) soil or sediment,Basin/wash
K0784_L7,2020-11-28T10:51:55.170-08:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.15507,-118.275631,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0784_M8,2020-11-28T10:52:28.408-08:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.155141,-118.27535,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0789_B2,2020-11-28T10:52:28.408-08:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.155191,-118.275926,"all hard bottom, entirely channelized, concrete fully present","Yes, thin layer present",Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0789_C3,2020-11-28T10:54:42.660-08:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.155176,-118.275905,"all hard bottom, entirely channelized, concrete fully present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0789_E4,2020-11-28T10:54:42.660-08:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.154751,-118.276634,"all hard bottom, entirely channelized, concrete fully present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
GN_DB1,2020-11-28T10:57:57.829-08:00,Sample,Water,DB,Glendale_Narrows,Glendale_Narrows_DB,Yes,34.103081,-118.242389,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
GN_DB2,2020-11-28T10:58:00.898-08:00,Sample,Water,DB,Glendale_Narrows,Glendale_Narrows_DB,Yes,34.102718,-118.242252,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
GN_PN1,2020-11-28T10:58:00.898-08:00,Sample,Water,PN,Glendale_Narrows,Glendale_Narrows_PN,Yes,34.10289,-118.242423,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
GN_PN2,2020-11-28T11:00:43.660-08:00,Sample,Water,PN,Glendale_Narrows,Glendale_Narrows_PN,Yes,34.102721,-118.242309,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
K0567_A1,2020-11-28T11:00:43.660-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103068,-118.242299,"all soft bottom, no concrete present","Yes, thin layer present",Fully submerged,Submerged 3-30cm,Enclosed water Open water
K0567_B2,2020-11-28T11:13:01-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103109,-118.242676,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0567_C3,2020-11-28T11:13:01-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.102793,-118.242688,"all hard bottom, entirely channelized, concrete fully present","Yes, thin layer present",Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0567_E4,2020-11-28T11:18:16.509-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.10252,-118.242718,"all hard bottom, entirely channelized, concrete fully present","Yes, thin layer present",Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0567_G5,2020-11-28T11:18:16.509-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,No,34.102586,-118.242766,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Pit or ravine
K0567_K6,2020-11-28T11:19:54-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.102941,-118.242796,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Pit or ravine
K0786_K6,2020-11-28T11:19:54-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103639,-118.242653,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0786_L7,2020-11-28T11:25:18.826-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103651,-118.242517,"all soft bottom, no concrete present","Yes, thick layer present",Frequently submerged or intertidal or marsh,Submerged 3-30cm,Enclosed water Open water
K0786_M8,2020-11-28T11:29:22.096-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,No,34.103167,-118.242417,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Enclosed water Open water
K0786_T9,2020-11-28T12:29:15.380-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103621,-118.242685,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Open water
LB_DB1,2020-11-28T12:33:11.193-08:00,Sample,Water,DB,Long_Beach,Long_Beach_DB,Yes,33.762713,-118.202147,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Rocky shore
LB_DB2,2020-11-28T12:33:32.585-08:00,Sample,Water,DB,Long_Beach,Long_Beach_DB,Yes,33.762951,-118.202335,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Estuary (partially enclosed)
LB_PN1,2020-11-28T12:40:08.315-08:00,Sample,Water,PN,Long_Beach,Long_Beach_PN,Yes,33.762689,-118.202161,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Open water
LB_PN2,2020-11-28T12:40:30.053-08:00,Sample,Water,PN,Long_Beach,Long_Beach_PN,Yes,33.763023,-118.202269,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Estuary (partially enclosed)
K0541_B2,2020-11-28T12:42:58.844-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762552,-118.201911,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Basin/wash Pit or ravine
K0541_T9,2020-11-28T12:46:02.683-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762548,-118.202405,soft bottom with some concrete present,No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Estuary (partially enclosed)
K0543_C3,2020-11-28T12:51:30.829-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762592,-118.202006,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Rocky shore
K0543_E4,2020-11-28T12:51:54.221-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762863,-118.202303,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Open water
K0543_L7,2020-11-28T12:54:39.431-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762553,-118.201927,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Slope/slant Rocky shore
K0543_M8,2020-11-28T13:00:57.079-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762992,-118.202364,soft bottom with some concrete present,No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Estuary (partially enclosed)
K0544_E4,2020-11-28T13:01:53.895-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762822,-118.202326,soft bottom with some concrete present,No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Estuary (partially enclosed)
