Sample,Sample_original_fastq,Date_Collected,Sample_or_Control,Substrate,SampleType,Site,Site_SampleType,Include_in_Levi_analysis,Latitude,Longitude,River_Bottom,River_Portion,Biofilm,Habitat,Depth,Features
K0597_M8,K0597_M8,2020-07-24T13:14:45.696-07:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.20375,-118.166481,soft bottom,creek,unknown,"Terrestrial habitat, not submerged",Top layer (top 3cm) soil or sediment,Slope/slant Basin/wash
K0599_L7,K0599_L7,2020-07-24T13:16:27.257-07:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.20331,-118.166408,soft bottom,creek,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant Basin/wash
BP_DB1,BP_DR_1,2020-07-24T13:24:44.283-07:00,Sample,Water,DB,Bowtie_Parcel,Bowtie_Parcel_DB,Yes,34.108366,-118.246506,soft bottom,river,unknown,Fully submerged,Submerged 3-30cm,Slope/slant
BP_DB2,BP_DR_2,2020-07-24T13:26:39.810-07:00,Sample,Water,DB,Bowtie_Parcel,Bowtie_Parcel_DB,Yes,34.107994,-118.245945,soft bottom,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
BP_DB3,BP_DR_3,2020-08-06T08:49:27.750-07:00,Sample,Water,DB,Bowtie_Parcel,Bowtie_Parcel_DB,No,34.108309,-118.246849,soft bottom,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
BP_PN1,BP_PN_1,2020-08-06T08:59:36.238-07:00,Sample,Water,PN,Bowtie_Parcel,Bowtie_Parcel_PN,Yes,34.108408,-118.247035,soft bottom,river,unknown,Fully submerged,Submerged 3-30cm,Enclosed water Basin/wash
BP_PN2,BP_PN_2,2020-08-06T09:07:15.467-07:00,Sample,Water,PN,Bowtie_Parcel,Bowtie_Parcel_PN,Yes,34.107966,-118.246193,soft bottom,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
K0526_B2,K0526_B2,2020-08-06T09:14:05.730-07:00,Sample,Sediment,Sediment,Bowtie_Parcel,Bowtie_Parcel_Sediment,Yes,34.108161,-118.246186,soft bottom,river,unknown,Fully submerged,Below top 3cm soil or sediment,Slope/slant Basin/wash
K0529_L7,K0529_L7,2020-08-06T09:22:35.331-07:00,Sample,Sediment,Sediment,Bowtie_Parcel,Bowtie_Parcel_Sediment,Yes,34.108149,-118.246176,soft bottom,river,unknown,Fully submerged,Submerged 3-30cm,Slope/slant Basin/wash
K0672_C3,K0672_C3,2020-08-06T09:28:10.524-07:00,Sample,Sediment,Sediment,Bowtie_Parcel,Bowtie_Parcel_Sediment,Yes,34.108433,-118.246959,soft bottom,river,unknown,Fully submerged,Submerged 3-30cm,Enclosed water Slope/slant Basin/wash
K0672_G5,K0672_G5,2020-08-06T09:33:58.603-07:00,Sample,Sediment,Sediment,Bowtie_Parcel,Bowtie_Parcel_Sediment,Yes,34.108278,-118.246926,soft bottom,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
K0674_E4,K0674_E4,2020-08-06T09:36:28.104-07:00,Sample,Sediment,Sediment,Bowtie_Parcel,Bowtie_Parcel_Sediment,Yes,34.108186,-118.246584,soft bottom,river,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0678_E4,K0678_E4,2020-08-06T09:47:37.486-07:00,Sample,Sediment,Sediment,Bowtie_Parcel,Bowtie_Parcel_Sediment,Yes,34.108131,-118.246003,soft bottom,river,unknown,Fully submerged,Submerged 3-30cm,Slope/slant Basin/wash
K0679_B2,K0679_B2,2020-08-06T10:02:03.335-07:00,Sample,Sediment,Sediment,Bowtie_Parcel,Bowtie_Parcel_Sediment,Yes,34.108278,-118.246341,soft bottom,river,unknown,Fully submerged,Submerged 3-30cm,Slope/slant Basin/wash
K0679_M8,K0679_M8,2020-08-06T10:09:18.789-07:00,Sample,Sediment,Sediment,Bowtie_Parcel,Bowtie_Parcel_Sediment,Yes,34.108374,-118.246774,soft bottom,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
BC_DB2,BC_DR_2,2020-08-06T10:16:47.306-07:00,Sample,Water,DB,Bull_Creek,Bull_Creek_DB,Yes,34.181924,-118.497851,soft bottom,pool,unknown,Fully submerged,Submerged 3-30cm,Pit or ravine
BC_PN1,BC_PN_1,2020-08-06T10:51:50.786-07:00,Sample,Water,PN,Bull_Creek,Bull_Creek_PN,Yes,34.181744,-118.497703,soft bottom,pool,unknown,Fully submerged,Submerged 30-60cm,Pit or ravine
BC_PN2,BC_PN_2,2020-08-06T11:01:57.449-07:00,Sample,Water,PN,Bull_Creek,Bull_Creek_PN,Yes,34.181334,-118.49781,soft bottom,stream,unknown,Fully submerged,Submerged 30-60cm,Pit or ravine
K0528_A1,K0528_A1,2020-08-06T11:06:57.304-07:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.181558,-118.497717,soft bottom,stream,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Pit or ravine
K0528_E4,K0528_E4,2020-08-06T11:15:01.597-07:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.182029,-118.49771,soft bottom,pool,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Pit or ravine
K0528_K6,K0528_K6,2020-08-06T11:17:15.461-07:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.181975,-118.497849,soft bottom,pool,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant
K0529_K6,K0529_K6,2020-08-06T11:27:42.787-07:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.181652,-118.497718,soft bottom,pool,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Pit or ravine
K0529_T9,K0529_T9,2020-08-06T11:48:35.893-07:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.181651,-118.497716,soft bottom,stream,unknown,Fully submerged,Submerged 3-30cm,Pit or ravine
K0530_A1,K0530_A1,2020-08-06T11:50:26.485-07:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.181419,-118.497763,soft bottom,stream,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Pit or ravine
K0530_B2,K0530_B2,2020-08-06T11:51:57.873-07:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.181342,-118.497657,soft bottom,stream,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Pit or ravine
K0530_E4,K0530_E4,2020-08-06T11:54:16.837-07:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.1814,-118.497865,soft bottom,stream,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Pit or ravine
CC_DB2,CC_DR_2,2020-08-06T12:14:37.493-07:00,Sample,Water,DB,Compton_Creek,Compton_Creek_DB,Yes,33.843588,-118.206254,soft bottom,pool,unknown,Fully submerged,Below top 3cm soil or sediment,Basin/wash
CC_PN1,CC_PN_1,2020-08-06T12:18:21.751-07:00,Sample,Water,PN,Compton_Creek,Compton_Creek_PN,Yes,33.842937,-118.205609,soft bottom,stream,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
CC_PN2,CC_PN_2,2020-08-06T13:02:50.620-07:00,Sample,Water,PN,Compton_Creek,Compton_Creek_PN,Yes,33.843397,-118.205959,soft bottom,pool,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
K0528_G5,K0528_G5,2020-08-06T13:08:47.130-07:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.843656,-118.206466,soft bottom,pool,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0528_L7,K0528_L7,2020-08-06T13:18:06.637-07:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.843055,-118.205667,soft bottom,stream,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
K0528_T9,K0528_T9,2020-08-06T13:28:52.144-07:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.843328,-118.2061,soft bottom,pool,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant Basin/wash
K0529_A1,K0529_A1,2020-08-06T13:33:22.375-07:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.843196,-118.205854,soft bottom,stream,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0530_C3,K0530_C3,2020-08-06T13:40:38.344-07:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.843311,-118.206092,soft bottom,pool,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0530_K6,K0530_K6,2020-08-06T13:44:25.166-07:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.842877,-118.205544,soft bottom,stream,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0530_L7,K0530_L7,2020-08-06T13:46:09.200-07:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.842749,-118.205402,soft bottom,stream,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
K0530_M8,K0530_M8,2020-08-06T13:49:30.697-07:00,Sample,Sediment,Sediment,Compton_Creek,Compton_Creek_Sediment,Yes,33.843196,-118.205854,soft bottom,stream,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
Blank102-117,Blank102-117,2020-08-06T13:50:44.815-07:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control,Control
Blank119-134,Blank119-134,2020-08-06T13:55:52.612-07:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control,Control
Blank_1_20,Blank_1_20,2020-08-06T14:05:34.117-07:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control,Control
Blank_22_32,Blank_22_32,2020-08-06T14:13:54.447-07:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control,Control
Blank_34_56,Blank_34_56,2020-08-07T13:15:34.817-07:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control,Control
Blank_58_76,Blank_58_76,2020-08-07T13:21:29.756-07:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control,Control
Blank78-100,Blank78-100,2020-08-07T13:23:00-07:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control,Control
PCR_Blank,PCR_Blank,2020-08-07T13:28:19.658-07:00,Control,Control,Control,Control,Control_Control,No,Control,Control,Control,Control,Control,Control,Control,Control
EV_DB1,EV_DR_1,2020-08-07T13:31:15-07:00,Sample,Water,DB,Elysian_Valley,Elysian_Valley_DB,Yes,34.084725,-118.227931,concrete channel,river,unknown,Fully submerged,Submerged 60cm-2m,Enclosed water
EV_DB2,EV_DR_2,2020-08-07T13:35:00-07:00,Sample,Water,DB,Elysian_Valley,Elysian_Valley_DB,Yes,34.084749,-118.227965,concrete channel,river,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
EV_PN1,EV_PN_1,2020-08-07T13:41:41.727-07:00,Sample,Water,PN,Elysian_Valley,Elysian_Valley_PN,Yes,34.084783,-118.227988,concrete channel,river,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water Other
EV_PN2,EV_PN_2,2020-08-07T13:50:00-07:00,Sample,Water,PN,Elysian_Valley,Elysian_Valley_PN,Yes,34.084811,-118.228091,concrete channel,river,unknown,Fully submerged,Submerged 60cm-2m,Enclosed water Basin/wash
K0529_C3,K0529_C3,2020-08-07T13:55:42.872-07:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.083829,-118.228152,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Enclosed water Basin/wash
K0672_T9,K0672_T9,2020-08-07T14:08:22.596-07:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.084621,-118.228071,concrete channel,river,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0673_A1,K0673_A1,2020-08-07T14:20:33.124-07:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.084217,-118.228066,concrete channel,river,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash Rock mound
K0673_G5,K0673_G5,2020-08-12T09:52:02.790-07:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.084227,-118.228048,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash Rock mound
K0674_G5,K0674_G5,2020-08-12T10:16:18.461-07:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.08455,-118.228053,concrete channel,river,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Basin/wash Rock mound
K0676_B2,K0676_B2,2020-08-12T10:36:25.206-07:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.08449,-118.228157,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash Rock mound
K0676_T9,K0676_T9,2020-08-12T10:47:00.490-07:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.084721,-118.228145,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Slope/slant Basin/wash
K0677_A1,K0677_A1,2020-08-12T11:23:30.715-07:00,Sample,Sediment,Sediment,Elysian_Valley,Elysian_Valley_Sediment,Yes,34.084482,-118.228157,concrete channel,river,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash Rock mound
GL_DB1,GL_DR_1,2020-08-12T11:27:56.074-07:00,Sample,Water,DB,Glendale,Glendale_DB,Yes,34.154628,-118.276434,concrete channel,wash,unknown,Fully submerged,Submerged 3-30cm,Slope/slant
GL_DB2,GL_DR_2,2020-08-12T11:39:37.612-07:00,Sample,Water,DB,Glendale,Glendale_DB,Yes,34.154684,-118.276416,concrete channel,wash,unknown,Fully submerged,Submerged 3-30cm,Slope/slant
GL_PN1,GL_PN_1,2020-08-12T11:45:59.389-07:00,Sample,Water,PN,Glendale,Glendale_PN,Yes,34.154643,-118.276535,concrete channel,wash,unknown,Fully submerged,Submerged 3-30cm,Slope/slant
GL_PN2,GL_PN_2,2020-08-12T11:57:32.059-07:00,Sample,Water,PN,Glendale,Glendale_PN,Yes,34.154764,-118.276601,concrete channel,wash,unknown,Fully submerged,Submerged 3-30cm,Slope/slant
K0593_T9,K0593_T9,2020-08-12T11:59:43.697-07:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.155282,-118.275211,concrete channel,wash,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0594_L7,K0594_L7,2020-08-12T12:08:32.801-07:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.15459,-118.276618,concrete channel,wash,unknown,Fully submerged,Submerged 3-30cm,Slope/slant Pit or ravine
K0596_C3,K0596_C3,2020-08-12T14:43:41.752-07:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.155107,-118.275459,concrete channel,wash,unknown,Fully submerged,Submerged 3-30cm,Slope/slant Flat land/terrace
K0596_E4,K0596_E4,2020-08-12T14:47:02.731-07:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.154774,-118.27637,Near (<5m) road or trail Near (<5m) buildings On manmade landscape Near (<2m) moving water,wash,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant
K0596_L7,K0596_L7,2020-08-12T14:56:51.808-07:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.154918,-118.276231,concrete channel,wash,unknown,Fully submerged,Submerged 3-30cm,Slope/slant Pit or ravine Flat land/terrace
K0596_T9,K0596_T9,2020-08-12T15:14:27-07:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.154973,-118.275799,concrete channel,wash,unknown,Fully submerged,Submerged 3-30cm,Slope/slant Basin/wash
K0597_K6,K0597_K6,2020-08-12T15:29:34.583-07:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.154997,-118.275944,concrete channel,wash,unknown,Fully submerged,Submerged 3-30cm,Slope/slant Flat land/terrace
K0597_L7,K0597_L7,2020-08-12T15:33:30.432-07:00,Sample,Sediment,Sediment,Glendale,Glendale_Sediment,Yes,34.155157,-118.27542,concrete channel,wash,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
GN_DB1,GN_DR_1,2020-08-12T15:33:30.432-07:00,Sample,Water,DB,Glendale_Narrows,Glendale_Narrows_DB,Yes,34.103374,-118.242662,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
GN_DB2,GN_DR_2,2020-08-12T15:39:00.415-07:00,Sample,Water,DB,Glendale_Narrows,Glendale_Narrows_DB,Yes,34.102937,-118.242638,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Enclosed water Rock mound
GN_PN1,GN_PN_1_,2020-08-12T15:43:34.013-07:00,Sample,Water,PN,Glendale_Narrows,Glendale_Narrows_PN,Yes,34.10341,-118.242673,concrete channel,river,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
GN_PN2,GN_PN_2,2020-08-12T15:53:44.429-07:00,Sample,Water,PN,Glendale_Narrows,Glendale_Narrows_PN,Yes,34.10329,-118.242672,concrete channel,river,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0526_C3,K0526_C3,2020-08-12T16:00:36.740-07:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.102813,-118.242742,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash Pit or ravine
K0526_G5,K0526_G5,2020-08-12T16:09:00.893-07:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103427,-118.242642,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Rock mound
K0529_B2,K0529_B2,2020-09-13T14:19:32.854-07:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103109,-118.242634,soft bottom,river,unknown,Fully submerged,Submerged 3-30cm,Open water Slope/slant Rock mound
K0529_G5,K0529_G5,2020-09-13T14:28:49.832-07:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103652,-118.242686,concrete channel,river,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0529_M8,K0529_M8,2020-09-13T14:33:57.800-07:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103251,-118.242645,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Enclosed water Rocky shore
K0672_B2,K0672_B2,2020-09-13T14:38:05.419-07:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.10274,-118.242669,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash Rock mound
K0678_B2,K0678_B2,2020-09-13T14:42:18.423-07:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103274,-118.242544,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
K0678_K6,K0678_K6,2020-09-13T14:46:23.934-07:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103437,-118.24275,concrete channel,river,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
LB_DB1reserve,LB_RS_1_reserve_1,2020-09-13T14:51:39.496-07:00,Sample,Water,DB,Long_Beach,Long_Beach_DB,No,33.763026,-118.202279,soft bottom,reserve,unknown,Fully submerged,Submerged 3-30cm,Enclosed water Basin/wash Rocky shore
LB_DB2reserve,LB_RS_2_reserve_2,2020-09-13T14:55:11.886-07:00,Sample,Water,DB,Long_Beach,Long_Beach_DB,No,33.762908,-118.202197,soft bottom,reserve,unknown,Fully submerged,Submerged 3-30cm,Estuary (partially enclosed) Basin/wash
LB_DB1,LB_RV_1_river_1_500_ml,2020-09-13T15:18:42.990-07:00,Sample,Water,DB,Long_Beach,Long_Beach_DB,Yes,33.762799,-118.202215,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Enclosed water Rock mound
LB_DB2,LB_RV_2_river_2,2020-09-13T15:27:00.063-07:00,Sample,Water,DB,Long_Beach,Long_Beach_DB,Yes,33.762807,-118.2022,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Estuary (partially enclosed) Rocky shore
LB_PN1,LB_F1,2020-09-13T15:35:57.838-07:00,Sample,Water,PN,Long_Beach,Long_Beach_PN,Yes,33.762815,-118.20225,concrete channel,river,unknown,Fully submerged,Submerged 30-60cm,Enclosed water Estuary (partially enclosed)
LB_PN2,LB_F2_reserve,2020-09-13T15:49:00.887-07:00,Sample,Water,PN,Long_Beach,Long_Beach_PN,Yes,33.762834,-118.202466,soft bottom,reserve,unknown,Fully submerged,Submerged 3-30cm,Estuary (partially enclosed)
K0672_A1,K0672_A1,2020-09-14T08:37:40.362-07:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762909,-118.202355,soft bottom,reserve,unknown,Fully submerged,Submerged 3-30cm,Estuary (partially enclosed) Rocky shore
K0674_M8,K0674_M8,2020-09-14T08:40:09.677-07:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762738,-118.202271,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Open water
K0676_M8,K0676_M8,2020-09-14T08:47:28.532-07:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762683,-118.202126,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Slope/slant Basin/wash Rocky shore
K0677_B2,K0677_B2,2020-09-14T08:48:41.511-07:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762833,-118.202418,concrete channel,reserve,unknown,Fully submerged,Submerged 3-30cm,Estuary (partially enclosed)
K0677_E4,K0677_E4,2020-09-14T08:53:19.890-07:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762907,-118.202298,concrete channel,reserve,unknown,Fully submerged,Submerged 3-30cm,Estuary (partially enclosed) Slope/slant Rocky shore
K0677_L7,K0677_L7,2020-09-14T08:58:50.404-07:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762841,-118.20235,concrete channel,reserve,unknown,Fully submerged,Submerged 3-30cm,Open water
K0678_L7,K0678_L7,2020-09-14T09:01:33.126-07:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762906,-118.202305,soft bottom,reserve,unknown,Fully submerged,Submerged 3-30cm,Estuary (partially enclosed) Rocky shore
K0701_C3,K0701_C3,2020-09-14T09:06:21.262-07:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.76269,-118.202303,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Open water
MW_DB1,MW_DR_1,2020-09-14T09:08:11.297-07:00,Sample,Water,DB,Maywood,Maywood_DB,Yes,33.988062,-118.1726,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
MW_DB2,MW_DR_2,2020-09-14T09:11:25.811-07:00,Sample,Water,DB,Maywood,Maywood_DB,Yes,33.986879,-118.171764,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
MW_PN1,MW_PN_1,2020-09-14T09:17:05.872-07:00,Sample,Water,PN,Maywood,Maywood_PN,Yes,33.986352,-118.171709,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
MW_PN2,MW_PN_2,2020-09-14T09:20:00.110-07:00,Sample,Water,PN,Maywood,Maywood_PN,Yes,33.987131,-118.171942,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
K0527_B2,K0527_B2_1,2020-09-14T10:30:30.445-07:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.987797,-118.172455,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
